,clean_reviews,rating
540,plot ha hole pair fishnet stocking direction editing astonishingly ham fisted,0
541,earth iron film,0
542,saw film recommend,1
543,ha good plot hold complete attention acting superb tom wilkinson wa fantastic emily watson wa also good,1
544,good film indeed great unconditional love,1
545,tom wilkinson character man prepared ordeal begin take matter hand story progress great actor give performance make feel character anguish suffering,1
546,emily watson character strong ha give quick glance understand everything,1
547,despite pan reviewer liked movie,1
548,fact liked better interview vampire liked lestat stuart townsend better cruise attempt,1
549,aailiyah wa pretty good akasha place compelling first entrance mini dance scene,1
550,big fan series mostly due anne rice style sensitivity treatment,1
551,guess liked detail dysfunction wa believable,1
552,football scene end perplexing,0
553,thought acting wa skilled,1
554,meredith wa better right,1
555,charming film wonderful sentiment heart,1
556,rare film maker take time tell worthy moral tale care love fall trap overly syrupy indulgent,1
557,nine ten truly lovely film,1
558,early film future goremeister lucio fulci good addition giallo sub genre,1
559,one best italian thriller early,1
560,standout scene,1
561,scene strong unpleasant,0
562,technically film well made impressive camera work solid acting effective music riz ortolani particularly good recurring unaccompanied female vocal sound like coming distant hill,1
563,still wild stuff though highly recommended fan giallo cinema,1
564,movie wa interesting beginning end,1
565,liked way dustin hoffman character wa ready everything stay son,1
566,movie also revealing,1
567,personally think show people learn find compromise self without involving people issue,1
568,wa boring,0
569,tired clich lazy writing come thick fast,0
570,p scene movie wa cool central character find room blown,1
571,fresh subtle rather sublime effect,1
572,italian reviewer called small great film right,1
573,actor give wonderful performance especially jennifer rubin jamie harris change nervous starlet beginning strange event part cool star,1
574,learn lot real inside emotion people movie lot movie business,1
575,movie movie situation beginning game played acting coach fascinating,1
576,also music mark snow possibly best score ever heard,1
577,forget movie,1
578,wa film made,0
579,film ha ultra cheap look,0
580,result film look right,0
581,none engaging exciting,0
582,plot nonsense interest slightest way uniqueness,0
583,foreigner worth one second time,0
584,saw child tv back wa stranger loved,1
585,duet astronaut doctor beginning movie perfect exchange one considers movie wa made well cold war astronaut biggest fear ha crashed ussr,1
586,movie awesome,1
587,loved wa really scary,1
588,love scream movie horror movie one rank way,1
589,want real scare rent one,1
590,,1
591,extraordinary film,1
592,courtroom drama compelling indictment american justice system frightening,1
593,film highlight fundamental flaw legal process discovering guilt innocence rather present better court,1
594,film well paced understated one best courtroom documentary seen,1
595,mostly routine fact based tv drama get boost fine performance cole,1
596,predictable bad watch,1
597,wa clear range ability pull part,1
598,carry movie well,1
599,constantine give everything right intensity seems good understanding underlying psychological motivation,1
600,wonderful inspiring watch hope get released video dvd,1
601,piece trash wa ever released beyond acting story character supposedly special effect etc wrong,0
602,fact stinker smell like direct video release,0
603,avoid cost,0
604,star trek v final frontier worst series,0
605,acting involved includes like shatner nimoy bad washed making seem old look real life special effect tacky like spock ha rescue kirk jet pack fall mountain,0
606,attempt humor pitiful story awful dosen bear thinking basically involves vulcan stealing enterprise find god seriously care film oh mention uhura doe belly dance distract male guard,0
607,place good film garbage,0
608,worst one series,0
609,editing editing film wa phenomenal opinion,1
610,song could explain emotion subject better jay adam unfortunate life wa subject talk song old man neil young wa played evokes many emotion,1
611,cinematography film wa shot interesting way,1
612,course footage wa grainy enhanced film,1
613,film offer many delight surprise,1
614,achille philippa beautifully sing duet giovanni perfectly describes situation movie appreciate subtle layer excellent film,1
615,story unfolds th century jutland use period music played period instrument one fine touch,1
616,share general loewenhielm exquisite joy partaking cailles en sarcophage even though watching movie wish small sample savor,1
617,understated film leaf lasting impression,1
618,warmth generates contrast austere backdrop,1
619,leave theater wanting go dance star,1
620,acting expect cast top notch,1
621,character fleshed surprisingly well particularly grime blake actor deliver sharply scripted line right amount deadpan tongue cheek make dialogue hilarious realistic,1
622,angus scrimm also turn good performance somewhat brief memorable role gently menacing violin playing anatomist doctor quinn,1
623,conclusion loved,1
624,long time since wa entertained movie,1
625,struggle find anything bad say,1
626,mark word one cult film like evil dead phantasm people still discovering falling love year line,1
627,pretty surprising wonderful film wa made hollywood generally collective head sand concerning black white issue time,1
628,film deserves strong kudos taking stand exceptional acting mostly lesser known cast super intelligent script insult audience take easy way come white racism,1
629,plus movie rather modest budget fast running time doe amazing job,1
630,juano hernandez exceptional actor played supporting role many film era proud black man accused murdering white man south,1
631,trumbull love lucy,1
632,see kid chance open amazing dialog far race relation come last year,1
633,see film,1
634,wa year however reminded u huston wa still top game evinced faithful adaptation james joyce acclaimed novella dead,1
635,feeling thought gabriel discomfort dance intangible leap life come within viewer grasp huston portrayal,1
636,disappointed wondered could oscar shortlist,0
637,slow,0
638,lot hole plot nothing became emperor nothing spend year childhood mature age,0
639,waste time,0
640,end day one worst big budget action movie ever seen,0
641,surely know make coherent action movie screenwriter air force one wa obliged write script big sum money,0
642,wa one worst film ever seen,0
643,still trying get bad wa,0
644,movie possibly one creative work horror ever,1
645,ha everything could want suspense drama comedy confusing subplots native american brain eating looking end brainsucking movie look,1
646,great sound effect impressive special effect recommend movie enough call nut think one best movie ever great character actor telly savalas peter boyle hour minute sheer tedium melodrama horrible acting mess script sinking feeling good lord thinking lot hole script like bad two hour tv movie imagine every single one decision wa made wrong dialogue atrocious acting beyond abysmal everything stink trouble writing directing make impossible establish thing make movie watchable like character story theme worse incredibly weak sub plot thrown follows little band latter day mansonites go reporter working story anniversary killing dumb pointless complete waste time short bother movie spoil ending pretty amazing best scene movie end spoil wa ever indication writer director ability meld two highly volatile temperament seamless union creativity result powerhouse achievement made timely perhaps culture disturbing fascination celebrity distorted interpretation fame film easily forgotten kevin spacey excellent verbal tsunami buddy ackerman totally believable great actor scripting subtle comedy unmatched movie recent year character interesting even bit predictable highly recommended age although younger set probably appreciate subtle reference certainly appreciate one galley scene particular great movie also story acting weak around pm bought around pm started watch around pm fast forwarded remaining film see wa anything left watchable human brain either way suck script horrendously stupid story start fast absolutely suspense build slightest everything captain howdy say either laughable plain stupid hell kind crap plot hole could drive semi truck hole linda cardellini thing good film poised amazing dee snider plain suck act one least scary villain ever seen write write damn movie sleep wa bored throughout whole damn thing acting suck music suck script suck pacing suck special fx suck directing suck basically movie suck film try serious sophisticated thriller horror flick fails miserably probably one least effective utterly unoriginal film ever seen entire life piece cinematic garbage captured celluloid avoid cost rate film stink funny fulci stayed giallo supernatural zombie movie avoid film cost know happened season five mess consistent thread holding series together amazing performance leni parker anita laselva two taelons quiet idealogical conflict movie really dislike one boring horror movie mainly start slow center boring atmosphere puppet look really cheesy good way like puppet master flick story lame interesting never really explains sinister origin puppet death scene like previous movie f x terrible felt asleep first time watched recommend insomniac fact film wonderful heartwarming tale two people chasing dream best part nurse betty unpredictability,1
647,director neil labute us brutal violence seperate dream reality along touching drama hilarious comedy never tell going happen next,1
648,otherwise even waste time,0
649,one fails create real suspense,0
650,killer expect anything original even remotely frightening,0
651,however pretty good acting least type film,1
652,sorry really recommend anyone,0
653,one boring pointless movie ever seen,0
654,secondary plot line incomprehensible relation primary plot line mystifying,0
655,hated,0
656,one worst sandra bullock movie since speed quite bad,0
657,understand garbage got shelf movie store even real movie,0
658,highly doubt anyone could ever like trash,0
659,movie making,0
660,acting like watching wooden puppet moving around reading book bad,0
661,warn rent movie dumbest thing never seen,0
662,saw short film hbo day absolutely loved,1
663,realize wonderful short really last two scene,1
664,excellent short film,1
665,hopefully director james cox turn short feature length film cast win u whole new film,1
666,agree jessica movie pretty bad,0
667,character one dimensional even good guy especially bad guy,0
668,story line totally predictable,0
669,much dialogue much music whole film wa shot elaborately aesthetically like sculpture,1
670,seen soap opera intelligent movie,0
671,bad character bad story bad acting,0
672,really awful,0
673,easy watch,0
674,funny clever hip like pray previous film hype,1
675,wa long time see charismatic actor screen,1
676,paolo sorrentino ha written wonderful story loneliness tony ha built one unforgettable character seen movie recent year,1
677,movie completely perfect titta di girolamo stay long time vision movie,1
678,rate movie,1
679,know wa emilio estevez directorial debut pacing interplay development character well clever camera work surrounding character estevez play suggest natural eye,1
680,interplay martin emilio contains wonderful chemistry saw wall street martin charlie,1
681,kathy bates wonderful character subtle desperation escapism variation character play field lord,1
682,reader already seen one miyazaki film still top form made another worthwhile experience,1
683,never condescends character good genuine heart believable problem,1
684,two main character may two believable child ever saw put screen,1
685,easy love even easy identify,1
686,movie great especially enjoy visual art,1
687,scenery two daughter paint photograph beautiful,1
688,story also funny poignant time,1
689,people like european film art movie like movie,1
690,truly art movie actually ha lot art,1
691,go rent,1
692,however finally watching film realized closed mind brilliance depicts also found watching,1
693,one movie never cease interest simply keep alert try attempt decipher meaning,1
694,brilliance indeed,1
695,liked movie like matrix better yet sequel think appreciate thought provoking mindblowing experience film give,1
696,think film like dream,1
697,simply beautiful,1
698,rickman stowe play role hilt tale childrens book writer maybe ha written subversive tract,1
699,gloriously fun fast paced fairly accurate portrayal night raver,1
700,present idyllic yet serious portrayal ups character life,1
701,whatever avoid groove antithesis good human traffic,0
702,bad everyone else involved share crowe level dedication quality far better film hand sub par mess,0
703,movie seemed little slow first,0
704,picked speed got right point,1
705,showed exactly government scientist argued humanity reason gadget,1
706,enjoyed,1
707,recommended friend,1
708,wa particularly pleased acting ability dwight schultz,1
709,actor truly understand become particular character delivering convincing sincere performance,1
710,screen chemistry critical entire film genuine,1
711,film dialogue natural real life,1
712,writer gorman bechard undoubtedly homework reference industry character age appropriate,1
713,incredible soundtrack truly capture essence film,1
714,track command sentiment actually contributing scene character,1
715,definitely worth seeing sort thought provoking film force question threshold loneliness,1
716,hayao miyazaki latest eighth film studio ghibili gake ue ponyo ponyo cliff sea wonderfully fun imaginative look childhood,1
717,time seems film animation ha dominated disney pixar cgi masterpiece refreshing comforting know miyazaki still relying traditional hand drawn animation tell charming enchanting story,1
718,enough said remarkable animation film,1
719,art style ha appearance crayon pencil drawing wonderfully colorful fanciful,1
720,act film glad gon na drift away earth far possible,0
721,one want surf small wave space movie deep impact armageddon one fails everywhere,0
722,choked vomit end cheap drama worthless dialogue must bored death waste time,0
723,still make super ending depicts great sea vessel taken mighty frost,1
724,consider excellent story solid acting look film added bonus,1
725,instead got bore fest whiny spoiled brat babysitting,0
726,watched two sunday ago march th began really enjoy time taped entire thing,1
727,well acted done tv movie,1
728,judith light one favorite actress think doe superb job film,1
729,keep watching,1
730,sad movie good,1
731,seen movie definitely recommend,1
732,lovely usual cutie,1
733,still quite interesting entertaining follow,1
734,recommend confidence,1
735,movie well balanced comedy drama thoroughly enjoyed,1
736,wa riot see hugo weaving play sex obsessed gay real estate salesman us client house tryst flaming darren tom hollander,1
737,anyway plot flowed smoothly male bonding scene hoot,1
738,opening sequence gem classic cat n mouse game follow delight watch,1
739,fan genre heaven,1
740,lange become great actress,1
741,looked like wonderful story,1
742,never walked movie faster,0
743,got bored watching jessice lange take clothes,0
744,unfortunately virtue film production work wa lost regrettable script,0
745,word embarrassing,0
746,exceptionally bad,0
747,insult one intelligence huge waste money,0
